SC.GROUP.COMPARE.GEOG;ENQ SC.GROUP.COMPARE.GEOGRAPHIC
SC5;ASSET.TYPE
SC6;SUB.ASSET.TYPE
SC7;ASSET.BY.CATEG
SC8;PRICE.TYPE
SCB;SC.BLOCK.SEC.POS
SCTR;SECURITY.TRANSFER
SCV;SEC.TRADE
SDC;SEC.DEL.CONTROL
SE;STMT.ENTRY
SEB;ENQ STMT.ENT.BOOK
SEC;SEC.TRADE
SENTEX;SENT.TELEXES.REPORT
SET;ENQ STMT.ENT.TODAY
SEX;STOCK.EXCHANGE
SG1;PASSWORD 2 SG1
SGC;SC.GROUP.COMPARE
SL;SL.LOANS
SLB;RE.STAT.LINE.BAL
SLC;RE.STAT.LINE.CONT
SLM;RE.STAT.LINE.MVMT
SM;SECURITY.MASTER
SMC;SECURITY.MASTER
SMF;ENQUIRY
SMP;SECURITY.MASTER
SMSUP;SECURITY.SUPP
SO;SIGN.OFF
SON;SIGN.ON
SOO;SEC.OPEN.ORDER
SOR;SIGN.ON.RESET
SP;SECURITY.POSITION
SPA;SC.POS.ADJUSTMENT
SPEC;RE.CONSOL.SPEC.ENTRY
SR;SR.STATEMENT.REQUEST
SRS;SL.REPAYMENT.SCHEDULES
SS;STANDARD.SELECTION
SSR;SEAT.RESULTS
SST;SEAT.SCRIPTS
ST;SEC.TRADE
STC;STOCK.DIV.CUS
STO;STANDING.ORDER
STP;SC.TRADING.POSITION
STPH;SC.TRANS.POS.HISTORY
STR;STOCK.DIV.DET
SU;DE.MM.BC.O.SUMMARY
SVD;ENQ SC.HOLD.VDATE
TEST;DE.INPUT.TESTKEY
TI;TELLER.ID
TICKLER;EB.TICKLER
TOO;TRADE.OPEN.ORDER
TPL;TAABS.PRE.LOAD I
TRF;SECURITY.TRANSFER
TS;TSA.SERVICE
TSS;TSA.SERVICE
TT;TELLER
TXN;TRANSACTION
UA;USER.ABBREVIATION
VAL;ENQ SC.VAL.MARKET
VC;VAULT.CONTROL
VE;VAULT.EXPECT
VI;VERSION
